category,name,price,supplier,last_increase
SPICE,Spice - Curry,74.38,N1 Suppliers,
SPICE,Spice - Pepper Steak,55.98,N1 Suppliers,
SPICE,Spice - Peri-Peri FH,131.93,N1 Suppliers,
SPICE,Spice - Steak & Kidney,61.98,N1 Suppliers,
SPICE,Spice - Veg Seasoning,86.0,Johanny Bags,
VEG,Spinach,14.99,Food Lovers,
FILLING,Spinach/Feta,0,KHF,
DRYSTORE,SPRAY AND COOK,45.0,Pick a Pay,
PASTRY,Springroll Sheet,0.43479999999999996,Unknown,
FILLING,Steak & Kidney,336.38,KHF,
SPICE,Sugar,20.42,Gourmet Food,
CONSUMABLE,Sunset Glaze,74.92,Chipkins,2023-10-01 00:00:00
SAUCE,Sweet Chilli Sauce,46.2608695652174,Basic Foods,
VEG,Sweet Corn,53.00106044538707,PnP,
Uncategorised,Tape,17.5,Gourmet Food,
SAUCE,TASTI CHEF BBQ SAUCE,19.7,NI SUPPLIERS,
VEG,Thyme,12.99,Food Lovers,
SAUCE,Tomato Braai Relish,26.87,Gourmet Food,
SAUCE,Tomato Paste,36.98,Gourmet Food,
SAUCE,Tomato Whole Peeled,29.98,Gourmet Food,
SAUCE,Tomatoe sauce,10.05,Basic Foods,
VEG,Tomatoes,15.99,Food Lovers,
BAKERY,UMAZI,22.99,CABFOODS,
DAIRY,Unsalted Butter,66.0,Basic Foods,
SAUCE,Vinegar apple,35.0,Basic Foods,
SAUCE,Vinegar Balsamic,22.97,Basic Foods,
SAUCE,Vinegar Red,36.78,Basic Foods,
SAUCE,Vinegar White,9.35,Basic Foods,
VEG,Wet yeast,13.8,Food Lovers,
VEG,White onion,14.14,Food Lovers,
DAIRY,Wooden spoon,22.29,Cabfoods,
SAUCE,Worster sauce,10.95,Basic Foods,
VEG,Yellow Pepper,89.99,Food Lovers,
